,code,2020pointsR1,2020pointsR2,2020EOS
932,MI008,588.0,,588.0
933,MI009,402.0,,402.0
934,MI010,368.0,,368.0
935,MI011,409.0,,409.0
936,MI012,401.0,,401.0
937,MI013,444.0,,444.0
938,MI014,434.0,,434.0
939,MU001,290.0,290,290.0
940,MU002,440.0,,440.0
941,NC003,260.0,,260.0
942,NC005,300.0,,300.0
943,NC009,300.0,,300.0
944,NC010,400.0,,400.0
945,NC020,280.0,,282.0
946,NC022,337.0,,337.0
947,NC023,261.0,,261.0
948,NC102,220.0,,220.0
949,NC103,250.0,,250.0
950,NC104,243.0,,243.0
951,NM701,187.0,,187.0
952,NM801,220.0,,220.0
953,PC402,200.0,121,80.0
954,PC404,217.0,197,175.0
955,PC405,253.0,216,216.0
956,PC410,252.0,209,209.0
957,PC411,255.0,209,209.0
958,RC001,733.0,,733.0
959,RC004,566.0,,566.0
960,RC005,579.0,,578.0
961,RC101,,,61.0
962,SG101,160.0,160,160.0
963,SG102,254.0,,254.0
964,SG131,280.0,,280.0
965,SG134,215.0,,215.0
966,SG135,187.0,,187.0
967,SG136,272.0,,272.0
968,SG137,324.0,,326.0
969,SG138,260.0,,260.0
970,SG141,261.0,,261.0
971,SG142,279.0,,279.0
972,SG144,270.0,,270.0
973,SG146,309.0,,309.0
974,SG147,307.0,,307.0
975,SG148,269.0,,269.0
976,SG231,449.0,449,449.0
977,SG232,273.0,,276.0
978,SG235,319.0,,319.0
979,SG236,235.0,,235.0
980,SG241,328.0,,328.0
981,SG242,279.0,,279.0
982,SG243,301.0,,301.0
983,SG244,505.0,,505.0
984,SG245,282.0,,282.0
985,SG246,290.0,,290.0
986,SG247,309.0,,309.0
987,SG248,281.0,,281.0
988,SG249,297.0,,297.0
989,SG250,412.0,,412.0
990,SG251,327.0,,342.0
991,SG252,307.0,,307.0
992,SG253,324.0,,378.0
993,SG254,225.0,225,225.0
994,SG300,209.0,,209.0
995,SG302,184.0,,184.0
996,SG308,171.0,,171.0
997,SG330,243.0,,243.0
998,SG331,236.0,,236.0
999,SG332,208.0,,208.0
1000,SG333,216.0,,216.0
1001,SG334,290.0,,290.0
1002,SG336,309.0,,309.0
1003,SG338,245.0,,245.0
1004,SG339,195.0,,195.0
1005,SG342,415.0,,415.0
1006,SG343,311.0,,311.0
1007,SG346,291.0,,291.0
1008,SG347,360.0,,360.0
1009,SG348,316.0,,331.0
1010,SG401,209.0,209,209.0
1011,SG404,264.0,264,358.0
1012,SG406,367.0,,367.0
1013,SG431,269.0,,269.0
1014,SG433,223.0,,223.0
1015,SG434,280.0,,280.0
1016,SG435,289.0,,289.0
1017,SG436,262.0,,262.0
1018,SG437,243.0,,243.0
1019,SG439,254.0,,254.0
1020,SG442,290.0,,290.0
1021,SG443,356.0,,356.0
1022,SG444,338.0,,338.0
1023,SG445,311.0,,311.0
1024,SG447,328.0,,328.0
1025,SG448,306.0,,307.0
1026,SG449,341.0,,341.0
1027,SG450,300.0,,304.0
1028,SG530,285.0,285,285.0
1029,SG535,228.0,,228.0
1030,SG536,223.0,,223.0
1031,SG537,234.0,,234.0
1032,TL620,189.0,189,189.0
1033,TL651,223.0,223,233.0
1034,TL652,260.0,,260.0
1035,TL701,228.0,,228.0
1036,TL702,243.0,,243.0
1037,TL710,232.0,,232.0
1038,TL711,224.0,,224.0
1039,TL715,251.0,,251.0
1040,TL716,269.0,,269.0
1041,TL731,219.0,,219.0
1042,TL743,,,
1043,TL744,243.0,,243.0
1044,TL745,261.0,261,145.0
1045,TL747,200.0,,200.0
1046,TL748,249.0,,249.0
1047,TL755,261.0,,261.0
1048,TL758,251.0,,261.0
1049,TL771,208.0,,208.0
1050,TL772,218.0,,218.0
1051,TL773,106.0,106,106.0
1052,TL780,234.0,,234.0
1053,TL781,225.0,,225.0
1054,TL801,281.0,,281.0
1055,TL802,325.0,,325.0
1056,TL810,310.0,,310.0
1057,TL811,358.0,,358.0
1058,TL815,308.0,,308.0
1059,TL823,299.0,,299.0
1060,TL831,306.0,,306.0
1061,TL844,300.0,,300.0
1062,TL845,325.0,,325.0
1063,TL847,302.0,,302.0
1064,TL848,308.0,,308.0
1065,TL851,309.0,,309.0
1066,TL855,317.0,,317.0
1067,TL858,308.0,,308.0
1068,TL871,300.0,,300.0
1069,TL872,309.0,,309.0
1070,TL873,289.0,,289.0
1071,TL880,307.0,,307.0
1072,TL881,308.0,,309.0
1073,TL889,,,
1074,TL890,440.0,414,414.0
1075,TL891,389.0,378,378.0
1076,TR002,435.0,429,382.0
1077,TR003,497.0,493,456.0
1078,TR004,566.0,565,565.0
1079,TR005,442.0,,442.0
1080,TR006,567.0,555,555.0
1081,TR007,529.0,,529.0
1082,TR009,420.0,,420.0
1083,TR012,555.0,554,552.0
1084,TR015,589.0,,589.0
1085,TR016,340.0,,329.0
1086,TR017,602.0,,602.0
1087,TR018,565.0,,565.0
1088,TR019,543.0,542,542.0
1089,TR020,602.0,,601.0
1090,TR021,370.0,,370.0
1091,TR022,398.0,,398.0
1092,TR023,487.0,476,474.0
1093,TR024,544.0,542,530.0
1094,TR025,564.0,530,530.0
1095,TR028,342.0,,342.0
1096,TR029,526.0,520,510.0
1097,TR031,531.0,,531.0
1098,TR032,510.0,509,508.0
1099,TR033,509.0,,509.0
1100,TR034,613.0,,613.0
1101,TR035,543.0,,543.0
1102,TR038,532.0,,532.0
1103,TR039,454.0,424,424.0
1104,TR040,466.0,,466.0
1105,TR041,368.0,,368.0
1106,TR042,489.0,476,466.0
1107,TR043,393.0,354,354.0
1108,TR051,735.0,734,734.0
1109,TR052,613.0,613,613.0
1110,TR053,566.0,566,566.0
1111,TR054,533.0,,533.0
1112,TR055,543.0,,543.0
1113,TR056,565.0,,564.0
1114,TR060,543.0,543,543.0
1115,TR061,517.0,510,510.0
1116,TR062,473.0,,473.0
1117,TR063,498.0,498,477.0
1118,TR072,590.0,,590.0
1119,TR080,589.0,,589.0
1120,TR081,543.0,543,543.0
1121,TR082,555.0,,555.0
1122,TR083,498.0,487,478.0
1123,TR084,462.0,,462.0
1124,TR085,540.0,531,521.0
1125,TR086,509.0,499,499.0
1126,TR087,474.0,465,456.0
1127,TR089,444.0,424,424.0
1128,TR090,531.0,,531.0
1129,TR091,429.0,,429.0
1130,TR093,430.0,429,414.0
1131,TR095,408.0,,408.0
1132,TR097,396.0,,378.0
1133,TR111,352.0,,352.0
1134,TR112,529.0,,529.0
1135,TR113,337.0,,337.0
1136,TR114,337.0,,337.0
1137,TR117,342.0,,342.0
1138,TR166,498.0,496,496.0
1139,TR173,335.0,,335.0
1140,TR177,335.0,,335.0
1141,TR179,499.0,,479.0
1142,TR198,534.0,,534.0
1143,TR202,534.0,,534.0
1144,TR207,566.0,,566.0
1145,TR208,534.0,,534.0
1146,TR209,534.0,,534.0
1147,TR212,534.0,,534.0
1148,TR228,498.0,,498.0
1149,TR231,349.0,,349.0
1150,TR233,349.0,,349.0
1151,TR239,349.0,,349.0
1152,TR262,529.0,,529.0
1153,TR263,498.0,497,497.0
1154,TR269,499.0,,495.0
1155,TR272,498.0,,498.0
1156,TR276,498.0,,476.0
1157,TR277,498.0,495,489.0
1158,TR311,521.0,,521.0
1159,TR312,521.0,,521.0
1160,TR320,521.0,,521.0
1161,TR322,529.0,,529.0
1162,TR323,473.0,,473.0
1163,TR324,521.0,,521.0
1164,TR325,529.0,,529.0
1165,TR326,352.0,,352.0
1166,TR332,498.0,496,496.0
1167,TR443,529.0,,529.0
1168,TR447,529.0,,529.0
1169,TR449,529.0,,529.0
1170,TR452,529.0,,529.0
1171,TR454,529.0,,529.0
1172,TR455,334.0,,334.0
1173,TR479,499.0,,485.0
1174,TR547,337.0,,337.0
1175,TR548,335.0,,335.0
1176,TR554,529.0,,529.0
1177,TR563,335.0,,335.0
1178,TR564,,,
1179,TR565,342.0,,342.0
1180,TR597,566.0,,566.0
1181,TR598,566.0,,566.0
1182,TR599,566.0,,566.0
1183,TR629,499.0,,499.0
1184,TR635,473.0,,473.0
1185,TR636,388.0,,388.0
1186,TR638,388.0,,388.0
1187,TR639,499.0,,499.0
1188,TR662,499.0,,499.0
1189,TR663,342.0,,342.0
1190,TR664,498.0,,498.0
1191,TR665,342.0,,342.0
1192,TR666,,,
1193,TR667,403.0,,403.0
1194,TR668,389.0,,389.0
1195,TR669,368.0,,368.0
1196,TR670,381.0,,381.0
1197,TR671,332.0,,332.0
1198,TR672,336.0,,336.0
1199,TR755,498.0,,498.0
1200,TR756,498.0,495,495.0
1201,TR801,436.0,419,367.0
1202,TR802,543.0,#511,498.0
1203,TR803,531.0,#486,359.0
1204,TR911,511.0,510,499.0
1205,TR913,478.0,477,473.0
1206,TU601,232.0,,230.0
1207,TU602,223.0,,223.0
1208,TU603,197.0,197,197.0
1209,TU641,223.0,,223.0
1210,TU642,153.0,,153.0
1211,TU643,236.0,,236.0
1212,TU644,223.0,,223.0
1213,TU645,241.0,,243.0
1214,TU651,205.0,196,196.0
1215,TU652,194.0,,194.0
1216,TU653,245.0,,245.0
1217,TU654,321.0,,321.0
1218,TU655,410.0,335,335.0
1219,TU671,226.0,,228.0
1220,TU672,180.0,179,179.0
1221,TU673,300.0,,300.0
1222,TU674,300.0,,306.0
1223,TU675,301.0,,301.0
1224,TU676,290.0,,290.0
1225,TU701,260.0,,261.0
1226,TU702,232.0,232,232.0
1227,TU703,260.0,,260.0
1228,TU704,262.0,,262.0
1229,TU705,243.0,,243.0
1230,TU706,244.0,,244.0
1231,TU707,224.0,224,224.0
1232,TU708,225.0,,225.0
1233,TU709,370.0,,370.0
1234,TU710,244.0,,244.0
1235,TU711,223.0,,223.0
1236,TU712,180.0,180,180.0
1237,TU713,221.0,,221.0
1238,TU714,264.0,,264.0
1239,TU715,181.0,181,181.0
1240,TU716,241.0,,241.0
1241,TU717,300.0,,300.0
1242,TU718,198.0,198,198.0
1243,TU719,228.0,,228.0
1244,TU720,232.0,,232.0
1245,TU721,350.0,,352.0
1246,TU722,292.0,292,401.0
1247,TU731,290.0,,290.0
1248,TU732,253.0,198,198.0
1249,TU735,270.0,,270.0
1250,TU736,410.0,391,391.0
1251,TU741,234.0,,238.0
1252,TU742,155.0,155,155.0
1253,TU745,245.0,,245.0
1254,TU746,170.0,170,170.0
1255,TU747,242.0,,242.0
1256,TU751,407.0,,407.0
1257,TU752,390.0,,390.0
1258,TU754,270.0,,270.0
1259,TU755,361.0,,361.0
1260,TU756,200.0,195,195.0
1261,TU757,225.0,,225.0
1262,TU758,220.0,,220.0
1263,TU759,211.0,,211.0
1264,TU760,204.0,204,204.0
1265,TU761,302.0,,319.0
1266,TU762,364.0,,364.0
1267,TU763,382.0,349,349.0
1268,TU771,224.0,,224.0
1269,TU772,,227,
1270,TU774,195.0,209,195.0
1271,TU775,260.0,,260.0
1272,TU776,182.0,175,175.0
1273,TU777,244.0,,244.0
1274,TU778,224.0,,226.0
1275,TU779,180.0,180,180.0
1276,TU780,179.0,179,179.0
1277,TU781,220.0,,220.0
1278,TU782,179.0,179,179.0
1279,TU783,189.0,189,189.0
1280,TU791,320.0,,320.0
1281,TU792,101.0,250,101.0
1282,TU793,220.0,,220.0
1283,TU794,390.0,250,230.0
1284,TU795,481.0,,481.0
1285,TU796,225.0,,225.0
1286,TU801,235.0,,235.0
1287,TU802,317.0,300,300.0
1288,TU803,243.0,243,243.0
1289,TU804,271.0,,271.0
1290,TU805,402.0,,402.0
1291,TU806,262.0,,262.0
1292,TU807,276.0,,276.0
1293,TU808,260.0,260,260.0
1294,TU809,235.0,,235.0
1295,TU810,270.0,,271.0
1296,TU811,411.0,,411.0
1297,TU812,270.0,,270.0
1298,TU813,218.0,218,218.0
1299,TU814,285.0,251,251.0
1300,TU831,410.0,,410.0
1301,TU832,622.0,,622.0
1302,TU833,367.0,,367.0
1303,TU834,288.0,,288.0
1304,TU835,313.0,,313.0
1305,TU836,401.0,,401.0
1306,TU837,385.0,,385.0
1307,TU851,349.0,,349.0
1308,TU852,476.0,,476.0
1309,TU854,476.0,,476.0
1310,TU855,331.0,319,319.0
1311,TU856,476.0,,476.0
1312,TU857,391.0,,391.0
1313,TU858,377.0,,377.0
1314,TU859,217.0,234,217.0
1315,TU860,260.0,,260.0
1316,TU861,308.0,308,308.0
1317,TU862,226.0,226,226.0
1318,TU863,280.0,,280.0
1319,TU864,400.0,390,390.0
1320,TU865,226.0,,226.0
1321,TU866,487.0,,487.0
1322,TU867,524.0,,524.0
1323,TU868,510.0,,510.0
1324,TU869,336.0,,336.0
1325,TU870,578.0,,578.0
1326,TU871,509.0,,509.0
1327,TU872,491.0,,491.0
1328,TU873,250.0,250,250.0
1329,TU874,341.0,,343.0
1330,TU875,400.0,,400.0
1331,TU876,377.0,349,349.0
1332,TU877,308.0,,308.0
1333,TU878,337.0,337,331.0
1334,TU879,351.0,,351.0
1335,TU880,578.0,,
1336,TU881,318.0,,318.0
1337,TU882,397.0,,397.0
1338,TU901,270.0,,270.0
1339,TU902,271.0,,271.0
1340,TU903,463.0,,463.0
1341,TU904,462.0,,462.0
1342,TU905,465.0,,465.0
1343,TU906,395.0,,395.0
1344,TU907,300.0,,300.0
1345,TU908,262.0,253,253.0
1346,TU909,285.0,,285.0
1347,TU910,444.0,,444.0
1348,TU911,209.0,192,192.0
1349,TU912,330.0,,330.0
1350,TU913,252.0,,252.0
1351,TU914,324.0,,324.0
1352,TU915,252.0,,252.0
1353,TU916,235.0,235,235.0
1354,TU917,342.0,,342.0
1355,TU918,451.0,,451.0
1356,TU919,228.0,226,226.0
1357,TU920,270.0,,270.0
1358,TU921,212.0,212,234.0
1359,TU922,418.0,,418.0
1360,TU923,228.0,276,228.0
1361,TU924,307.0,,307.0
1362,TU925,301.0,,301.0
1363,TU935,300.0,,300.0
1364,TU936,410.0,391,391.0
1365,TU941,249.0,,249.0
1366,TU942,212.0,212,212.0
1367,TU943,278.0,,279.0
1368,TU944,316.0,,316.0
1369,TU951,184.0,184,200.0
1370,TU952,300.0,,306.0
1371,TU953,290.0,,290.0
1372,TU954,356.0,,356.0
1373,TU955,217.0,317,217.0
1374,TU961,608.0,608,608.0
1375,TU962,379.0,,379.0
1376,TU963,416.0,,416.0
1377,TU965,356.0,346,346.0
1378,TU966,366.0,,434.0
1379,TU967,308.0,,326.0
1380,TU971,290.0,,290.0
1381,TU972,281.0,,281.0
1382,TU973,717.0,,717.0
1383,TU974,709.0,563,563.0
1384,TU975,632.0,,632.0
1385,TU976,695.0,,695.0
1386,TU981,280.0,,282.0
1387,TU982,320.0,311,311.0
1388,TU983,456.0,451,451.0
1389,TU984,381.0,,381.0
1390,TU985,322.0,,322.0
1391,TU986,289.0,,289.0
1392,TU991,325.0,,325.0
1393,TU992,251.0,,253.0
1394,TU993,270.0,,270.0
1395,TU994,321.0,251,230.0
1396,TU995,367.0,,367.0
1397,TU996,400.0,,400.0
1398,TU997,310.0,283,270.0
1399,WD001,260.0,260,260.0
1400,WD002,308.0,,308.0
1401,WD003,,171,
1402,WD005,280.0,,280.0
1403,WD006,280.0,,280.0
1404,WD007,288.0,288,288.0
1405,WD010,181.0,,181.0
1406,WD011,198.0,,198.0
1407,WD013,177.0,,177.0
1408,WD018,171.0,,171.0
1409,WD019,174.0,,174.0
1410,WD025,269.0,,269.0
1411,WD027,262.0,,262.0
1412,WD048,271.0,,271.0
1413,WD076,243.0,,243.0
1414,WD084,308.0,,308.0
1415,WD091,228.0,,228.0
1416,WD094,166.0,150,150.0
1417,WD096,260.0,,260.0
1418,WD097,,,
1419,WD116,422.0,,422.0
1420,WD117,366.0,,366.0
1421,WD120,377.0,,377.0
1422,WD126,327.0,,327.0
1423,WD134,290.0,,290.0
1424,WD137,271.0,,271.0
1425,WD139,206.0,,206.0
1426,WD140,280.0,,280.0
1427,WD144,284.0,,284.0
1428,WD147,293.0,,293.0
1429,WD149,271.0,,271.0
1430,WD150,270.0,,270.0
1431,WD151,,AQA,
1432,WD152,,,
1433,WD153,163.0,,163.0
1434,WD155,211.0,,211.0
1435,WD159,195.0,,195.0
1436,WD161,255.0,,255.0
1437,WD162,216.0,,216.0
1438,WD163,434.0,,434.0
1439,WD164,309.0,,309.0
1440,WD172,,AQA,
1441,WD173,,,
1442,WD174,,,
1443,WD175,226.0,,226.0
1444,WD177,222.0,,222.0
1445,WD182,,,
1446,WD184,163.0,,163.0
1447,WD186,270.0,,270.0
1448,WD187,272.0,,272.0
1449,WD188,201.0,,201.0
1450,WD191,377.0,,377.0
1451,WD192,270.0,,270.0
1452,WD193,271.0,,271.0
1453,WD194,217.0,,217.0
1454,WD195,279.0,,279.0
1455,WD200,,AQA,
1456,WD205,228.0,,228.0
1457,WD206,179.0,,179.0
1458,WD207,198.0,,198.0
1459,WD208,188.0,,188.0
1460,WD210,279.0,,279.0
1461,WD211,271.0,,271.0
1462,WD212,270.0,,270.0
1463,WD230,253.0,,253.0
